panel,x,y,kind
Input Space,-51.10153198,-0.493698865,task
Input Space,8.875387192,2.360119343,matched_mcp
Input Space,-51.10153198,-0.493698865,task
Input Space,9.08831501,1.056124568,matched_mcp
Input Space,-51.10153198,-0.493698865,task
Input Space,63.70585632,11.40112877,matched_mcp
Input Space,-51.10153198,-0.493698865,task
Input Space,-5.251523495,-55.22816467,matched_mcp
Input Space,-51.10153198,-0.493698865,task
Input Space,-2.710091829,33.17168808,matched_mcp
Input Space,-51.10153198,-0.493698865,task
Input Space,16.11252213,-3.09647274,matched_mcp
Input Space,-51.10153198,-0.493698865,task
Input Space,18.69119072,47.08348465,matched_mcp
Input Space,-51.10153198,-0.493698865,task
Input Space,66.89086151,10.12563133,matched_mcp
Input Space,-51.10153198,-0.493698865,task
Input Space,-2.667649508,26.03536415,matched_mcp
Input Space,-51.10153198,-0.493698865,task
Input Space,9.779640198,19.52331734,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,-20.36914063,-27.23962402,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,38.23513031,-33.07607651,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,15.6002388,42.70068741,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,-40.59763718,-1.977371454,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,-16.30366516,24.34771156,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,-17.74709129,64.84165192,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,-17.03526306,44.27417755,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,5.028687477,28.76038551,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,-15.74194145,46.89876175,matched_mcp
Input Space,-74.72532654,15.31306076,task
Input Space,-17.73011589,64.77764893,matched_mcp
Input Space,-69.56164551,13.63993835,task
Input Space,-6.604874134,21.90686989,matched_mcp
Input Space,-69.56164551,13.63993835,task
Input Space,-20.64814949,29.01215935,matched_mcp
Input Space,-69.56164551,13.63993835,task
