task_id,mcp_ids
1,"[325, 1216, 5450, 4213, 5588, 5590, 31, 1809, 3036, 3200, 4803, 1349, 5592, 5593, 4807, 3459, 5582]"
2,"[2845, 5, 2518, 1196, 1199, 867, 3700, 4046, 267, 932, 5182, 339, 207, 1073]"
3,"[1527, 5608, 6, 8, 64, 70, 87, 124, 127, 128, 4326]"
4,"[2813, 1879, 409, 1334, 2322, 2362, 4188, 4798, 5295, 1171, 3790]"
5,"[4298, 441, 3691, 2769, 4325, 322, 5629, 1879, 2356, 2386]"
6,"[5018, 579, 5185, 5290, 1689, 2187, 1400, 2213, 2765, 3068, 4419, 5182]"
7,"[266, 1309, 2797, 4796, 2793, 5041, 2538, 15, 225, 367]"
8,"[1650, 251, 2636, 5586, 115, 2214, 3699, 5128, 704, 707, 214, 4213, 1708]"
9,"[34, 2561, 4798, 5295, 1415, 2352, 3941, 4969, 3716, 81, 1808]"
10,"[5018, 5185, 579, 5290, 1689, 2187, 1400, 2213, 3068, 4021, 5182, 4919, 4419]"
11,"[3335, 4814, 4775, 61, 3974, 1315, 2828, 3633, 2158, 968, 3634]"
12,"[2813, 1879, 1172, 1649, 2748, 4798, 5295, 409, 1171, 1334, 1684, 3643, 1817, 2461]"
13,"[1767, 2287, 2355, 2542, 4764, 5544, 5554, 5029, 657, 775, 560]"
14,"[1037, 39, 589, 2205, 2440, 2692, 2736, 2770, 2915, 3319, 214]"
15,"[3507, 3042, 3043, 5319, 117, 470, 895, 1541, 4474, 5113, 5081, 5588, 5581, 3200, 5583, 5605, 1369, 471]"
16,"[2651, 1740, 1763, 1354, 2019, 4776, 918, 427, 913, 1667, 5455, 3200, 1369, 5450, 597, 5203, 994, 2636]"
17,"[1037, 5236, 3910, 3842, 830, 452, 4013, 4459, 3488, 1289, 214]"
18,"[369, 1764, 1921, 1748, 4311, 488, 685, 3826, 1420, 1481, 1824]"
19,"[5159, 311, 1296, 1589, 3157, 3978, 3981, 4798, 5295, 1208, 2879]"
20,"[247, 260, 1376, 2302, 4702, 4721, 2609, 2993, 741, 797, 5182]"
21,"[2126, 3409, 3517, 2134, 3604, 460, 1057, 2029, 5547, 5548, 742, 1364, 119, 214, 4213]"
22,"[2651, 1740, 1763, 1354, 4776, 2019, 918, 1667, 2414, 2711, 3200, 2636, 1809, 214, 1349, 5182, 31, 5455]"
23,"[3507, 3042, 3043, 5319, 117, 470, 895, 1541, 4474, 5113, 5081, 5588, 5581, 3200, 5583, 5605, 1369, 471]"
24,"[4571, 376, 2386, 16, 402, 1735, 2568, 3451, 4967, 4263, 239, 1194, 15]"
25,"[3271, 1290, 4898, 1, 2, 4, 7, 9, 10, 11]"
26,"[167, 1376, 2064, 5333, 21, 168, 505, 752, 765, 1769, 1018]"
27,"[2845, 5, 2518, 1196, 1199, 867, 3700, 4046, 267, 932, 1364, 4919, 1073]"
28,"[2357, 4419, 819, 1857, 5259, 3087, 976, 739, 156, 1400, 4143, 4386]"
29,"[613, 961, 2121, 2122, 2123, 612, 2456, 173, 757, 1203, 5182]"
30,"[4571, 376, 2386, 16, 402, 1735, 2568, 3451, 4967, 2304, 239, 1194, 15, 5032, 4196]"
31,"[369, 1764, 1921, 1748, 4311, 488, 685, 3826, 1420, 1481, 1824]"
32,"[1290, 3271, 4898, 39, 589, 2205, 2440, 2692, 2736, 2770]"
33,"[5118, 5184, 2357, 5220, 685, 3706, 4017, 3137, 4798, 5295, 740, 950, 3174, 3382]"
34,"[5018, 209, 718, 1201, 1762, 3185, 5213, 439, 2412, 3490, 1048, 2170, 3857]"
35,"[4298, 441, 3691, 2769, 4325, 322, 5629, 1879, 2356, 2386]"
36,"[1527, 5608, 1, 2, 4, 7, 9, 10, 11, 14, 5593]"
37,"[3507, 3042, 5319, 3043, 117, 470, 895, 1541, 4474, 5113, 5583, 1369, 5605, 5373, 471, 994, 5081, 597]"
38,"[2561, 34, 4798, 5295, 1415, 3941, 4969, 2352, 3716, 2889, 4077]"
39,"[2813, 1879, 1172, 1649, 2748, 4798, 5295, 409, 1171, 1334, 1684, 3643, 1817, 2461]"
40,"[5118, 5184, 2357, 5220, 685, 3706, 4017, 3137, 4798, 5295, 808, 1022, 5036, 4131, 2159, 1348, 560, 87]"
41,"[4624, 822, 3902, 4400, 353, 2750, 2751, 3657, 4626, 4622, 2151]"
42,"[3271, 1290, 4898, 1, 2, 4, 7, 9, 10, 11]"
43,"[5233, 5217, 5210, 5213, 5212, 3654, 5234, 5235, 5236, 663, 365, 2991]"
44,"[961, 613, 2122, 2121, 2123, 612, 2456, 173, 1203, 1260, 5182]"
45,"[2126, 3409, 3517, 2134, 3604, 460, 1057, 2029, 5547, 5548, 119]"
46,"[1715, 5074, 743, 2266, 2334, 5186, 1670, 3162, 4680, 5139]"
47,"[1545, 2782, 4263, 4899, 324, 3571, 146, 204, 245, 251]"
48,"[116, 429, 436, 3817, 5641, 434, 463, 1690, 2152, 2931, 4164]"
49,"[325, 5450, 1216, 4213, 5588, 5590, 31, 504, 846, 1019, 1349, 5592, 5593, 3459, 5460, 3076, 597, 5596]"
50,"[743, 59, 741, 742, 1, 2, 4, 7, 9, 10]"
51,"[4801, 2515, 5282, 4573, 188, 4084, 4894, 1690, 849, 3943]"
52,"[490, 4948, 575, 4784, 486, 627, 1231, 1436, 3024, 3348, 2438, 5182]"
53,"[2430, 2441, 630, 3410, 5559, 4499, 428, 632, 678, 825, 612]"
54,"[2845, 5, 2518, 1196, 1199, 867, 3700, 4046, 267, 932, 207, 1073]"
55,"[4646, 527, 1480, 706, 3982, 53, 3590, 1674, 4645, 4776, 4327, 196, 324, 2327, 3573]"
56,"[3375, 743, 4314, 2607, 4850, 5606, 5012, 2057, 2587, 3607, 1198, 1197]"
57,"[2651, 1740, 1763, 1354, 2019, 4776, 918, 427, 913, 1667, 5189, 1365, 4718, 5455, 3200, 1369, 5450, 5319]"
58,"[2799, 3397, 3902, 4653, 5238, 5239, 4837, 284, 4917, 1888, 3943]"
59,"[4624, 822, 3902, 3657, 4400, 353, 2750, 2751, 4626, 4622, 4942, 4111, 192, 107, 110]"
60,"[1650, 251, 2636, 5586, 115, 2214, 3699, 5128, 704, 707, 214, 4213, 1708]"
61,"[4137, 4499, 39, 589, 2205, 2440, 2692, 2736, 2770, 2915, 1364]"
62,"[2845, 2518, 5, 1196, 1199, 867, 3700, 4046, 267, 932, 3397]"
63,"[325, 1216, 5450, 4213, 5588, 5590, 31, 504, 846, 1019, 1349, 5592, 5593, 3459, 5460, 3076, 597, 5584]"
